distance_km,warehouse_load,order_hour,items_count,weather_risk,carrier_delay_rate,target
73.16,1,0,4,1,73.98,1
16.1,10,0,2,5,63.17,1
15.01,4,2,1,3,40.73,0
34.1,2,3,4,1,35.84,0
27.91,3,1,3,1,52.55,1
18.31,2,2,0,2,33.92,0
22.99,4,1,4,2,27.45,1
22.68,4,4,5,1,79.07,1
40.03,7,1,5,3,46.32,1
21.83,2,1,3,1,91.41,0
74.23,0,5,3,5,50.06,0
28.18,3,2,1,2,37.7,0
21.18,2,5,5,4,21.77,0
42.34,5,1,2,2,100.0,1
6.11,2,4,2,3,44.01,0
19.38,2,1,4,2,54.31,0
34.24,8,4,0,3,50.76,0
26.61,5,5,4,2,59.96,0
13.95,3,1,1,3,39.99,0
63.33,3,5,3,2,61.43,1
24.14,3,4,1,5,79.9,0
4.5,3,0,6,4,34.02,0
48.05,1,2,3,4,42.42,0
20.5,3,4,3,3,45.06,1
36.05,4,1,1,5,28.12,0
14.82,4,5,3,3,37.98,0
145.28,4,3,1,2,84.31,0
29.73,5,2,1,3,55.12,0
18.64,2,1,2,4,100.0,1
27.48,5,3,1,3,82.67,1
24.83,3,2,4,1,29.73,0
23.38,4,1,1,5,54.13,1
24.09,2,6,2,5,56.47,0
27.83,1,4,5,3,87.64,1
61.61,2,3,0,5,17.21,0
19.73,5,2,4,4,47.3,1
10.53,4,3,2,4,8.73,0
19.41,2,2,1,1,61.83,0
25.66,3,5,5,5,38.4,0
9.94,2,1,3,5,69.92,1
9.56,1,2,2,5,62.68,1
8.71,3,1,4,3,56.78,1
9.3,2,4,1,3,51.98,0
19.5,2,5,4,1,72.85,1
18.53,1,1,2,1,47.72,1
14.27,2,3,0,1,71.39,0
61.78,1,2,5,2,21.18,1
22.33,4,4,1,2,43.44,1
7.38,3,4,3,3,75.99,0
16.33,2,3,2,3,37.55,1
19.51,7,0,4,4,27.21,1
17.58,3,1,6,5,47.06,1
19.7,5,4,2,4,20.02,0
19.63,6,3,1,2,72.74,1
16.84,7,4,0,1,52.17,0
52.55,1,0,3,5,37.55,0
57.55,2,5,2,4,22.05,0
48.25,3,2,1,4,61.82,0
6.44,5,5,3,1,57.69,1
26.78,7,4,3,2,76.87,1
15.94,3,5,5,4,79.12,0
11.87,2,2,2,2,42.42,1
6.4,1,5,4,1,18.77,1
44.8,3,2,1,4,32.77,0
73.57,4,4,1,1,42.98,0
40.85,1,2,1,4,54.86,1
15.49,7,2,3,4,59.47,1
16.65,0,0,2,4,57.07,0
101.5,3,3,3,2,82.41,1
13.01,3,3,1,2,65.75,1
23.3,2,2,1,2,100.0,1
84.63,6,3,2,5,62.86,0
36.44,3,4,5,2,81.48,1
32.12,1,3,3,2,32.07,0
10.66,3,4,2,5,74.07,1
25.47,3,1,2,3,59.68,1
22.88,4,2,3,5,41.18,0
8.28,5,1,3,4,37.47,0
47.54,6,3,3,3,53.03,1
133.68,2,4,4,3,59.29,1
36.07,4,0,3,4,35.31,1
14.91,3,6,1,1,47.36,0
32.93,2,0,2,3,68.69,1
21.29,3,5,3,3,30.97,0
27.09,3,3,3,5,38.76,1
22.83,2,2,0,5,54.27,0
39.23,3,4,1,3,61.36,0
10.37,5,3,5,1,60.64,0
20.79,2,2,2,1,63.59,1
18.64,4,0,1,1,47.68,1
7.13,1,0,5,3,49.78,1
23.15,2,2,3,4,23.69,0
12.11,2,4,2,3,31.8,0
71.53,2,2,1,5,32.81,0
3.41,1,2,2,5,23.48,0
31.51,2,1,2,5,42.77,0
21.23,5,7,4,5,52.24,1
23.42,4,1,2,1,75.55,1
50.71,5,1,6,4,67.08,1
62.63,3,3,2,4,66.33,1
29.89,4,5,2,1,98.62,1
36.52,1,2,1,5,49.81,0
50.65,0,4,4,5,19.8,0
7.2,0,3,5,5,43.99,1
16.5,3,4,5,1,28.59,0
49.61,3,2,3,3,60.43,1
20.68,1,4,6,3,58.88,0
38.86,1,3,5,1,75.23,1
148.84,2,0,0,2,51.19,0
28.51,2,2,3,2,81.98,1
18.24,1,4,1,4,76.99,0
29.94,4,2,6,2,59.13,0
12.14,5,1,3,2,25.12,1
23.49,3,6,3,3,81.66,1
11.22,6,4,2,2,56.02,1
9.07,5,3,2,2,62.59,1
35.76,5,0,5,5,38.34,1
14.23,2,10,2,3,53.29,0
34.51,3,2,4,3,55.14,0
116.51,3,2,5,3,40.74,1
71.99,2,3,2,4,37.91,1
7.96,2,1,2,4,61.62,0
10.4,3,4,6,1,20.09,1
24.06,2,1,6,1,35.82,1
25.08,1,4,4,2,50.98,0
87.06,1,2,1,4,41.15,0
11.08,5,4,3,4,52.63,1
11.37,2,1,2,5,43.65,0
7.2,5,1,4,2,64.53,1
31.03,4,1,3,2,66.47,1
10.08,4,5,3,5,60.95,0
80.23,0,4,1,3,25.86,0
13.49,2,2,1,5,64.24,0
25.93,5,4,5,4,56.34,1
75.74,2,3,2,1,51.25,0
49.7,7,1,4,1,47.2,1
65.14,3,4,2,2,61.94,0
28.75,2,2,3,3,48.52,0
13.62,5,3,2,1,40.03,1
23.63,4,3,4,5,36.47,1
10.23,2,5,6,4,28.9,0
19.78,4,4,4,3,28.54,1
31.39,4,4,4,4,43.8,0
10.2,5,4,2,5,100.0,1
26.67,7,7,2,2,51.5,0
36.99,2,2,1,5,50.41,0
13.51,3,3,2,1,83.48,1
44.66,2,0,4,3,23.69,1
45.27,2,2,3,3,12.33,0
41.28,2,3,3,4,71.02,1
23.71,6,4,5,1,52.26,0
8.68,2,2,1,4,9.62,0
60.73,4,3,4,4,72.35,1
51.14,2,0,2,5,20.9,0
27.1,2,2,2,1,44.62,1
63.81,3,1,5,4,37.48,0
44.34,4,2,2,3,33.51,0
10.76,1,1,2,4,64.95,1
29.37,1,4,7,2,80.84,1
8.25,6,5,4,4,58.07,0
16.9,1,4,0,5,84.25,0
13.76,4,1,4,1,65.58,1
18.08,3,1,4,5,34.47,0
10.72,0,1,4,1,35.02,0
65.32,4,4,3,5,46.53,1
25.62,1,1,3,3,23.21,1
34.13,6,2,4,3,40.91,0
27.44,7,2,2,3,29.19,0
28.49,4,4,3,5,25.46,0
9.92,5,2,6,5,17.42,0
66.21,4,4,3,3,46.57,1
39.85,3,1,1,2,43.64,0
22.73,2,4,1,3,33.7,0
11.55,2,2,3,1,32.33,0
26.95,1,5,0,4,64.38,0
7.13,4,6,4,2,69.31,1
14.12,3,4,5,3,95.62,1
14.58,2,2,4,1,69.82,0
27.11,5,3,3,3,45.51,1
64.96,5,4,2,5,22.29,0
23.66,3,5,1,1,41.37,0
14.66,2,2,4,3,42.12,1
30.84,7,4,6,2,35.6,1
20.86,3,4,3,3,24.9,1
29.68,4,6,5,4,39.82,0
12.95,1,3,2,1,58.78,1
43.92,2,3,1,1,48.0,0
13.51,3,1,3,5,99.58,1
18.94,4,0,3,1,53.67,1
8.56,4,2,6,3,83.58,1
66.42,4,2,5,2,52.88,1
6.6,2,3,6,2,37.49,1
6.11,4,3,7,4,42.0,1
9.81,4,3,5,3,70.52,0
57.03,4,6,4,1,20.93,0
22.91,2,6,2,5,70.5,1
21.25,5,3,3,1,38.11,0
76.95,8,3,4,2,100.0,1
14.27,3,4,2,4,43.56,0
15.05,5,3,5,2,64.37,1
8.67,3,2,1,3,43.22,1
27.79,2,0,1,1,38.37,0
43.01,8,1,2,2,52.24,1
13.08,2,0,5,3,59.51,1
10.95,5,3,6,1,27.28,1
46.36,2,1,0,3,69.58,0
27.68,2,2,2,3,25.77,0
18.28,5,3,1,4,38.82,0
15.51,6,4,4,2,51.1,0
30.44,5,2,3,1,52.45,0
16.47,5,2,2,2,41.53,0
23.77,0,4,1,2,34.77,0
15.65,1,4,3,4,63.56,0
21.52,3,3,3,1,36.17,0
21.07,6,0,2,4,30.8,0
36.65,4,3,1,3,84.98,1
52.85,4,5,3,2,69.5,0
13.3,4,3,3,5,42.68,0
14.24,3,3,3,2,43.15,0
38.29,4,2,2,1,55.14,1
14.89,1,4,5,1,50.98,0
7.04,0,5,4,2,33.59,0
49.83,3,4,3,3,60.61,0
22.78,5,4,4,2,9.32,0
44.72,1,2,3,3,59.76,0
30.14,4,5,4,5,63.43,0
31.26,5,2,4,2,61.55,1
7.46,1,5,2,1,62.28,0
16.16,0,4,2,1,72.85,0
30.46,3,2,2,2,66.14,1
53.1,3,0,2,1,41.17,0
30.83,3,3,3,1,58.44,0
13.75,3,3,7,3,42.47,1
16.69,3,2,4,1,39.05,0
10.86,3,3,4,4,32.11,1
42.86,3,1,2,3,58.57,1
13.85,4,5,4,4,48.97,1
47.2,3,4,2,3,27.53,0
33.66,3,3,2,5,56.44,1
32.98,0,0,2,3,68.66,1
54.17,6,3,0,3,20.72,0
20.84,5,4,4,3,28.44,0
24.33,4,3,6,4,50.93,0
59.01,5,5,0,4,34.58,0
42.52,1,1,3,1,43.95,0
21.42,1,1,1,4,42.35,1
30.74,1,2,3,5,38.94,1
24.31,4,2,2,4,70.3,0
35.05,3,10,5,1,60.08,1
10.98,9,3,4,1,69.38,1
47.72,2,2,5,3,35.47,1
19.17,2,5,2,3,36.05,0
12.14,2,4,4,4,58.73,1
23.22,5,4,3,3,61.55,1
16.63,2,2,1,5,56.58,0
14.85,4,3,2,1,44.26,1
14.74,4,1,2,5,55.99,0
33.95,3,1,6,2,78.93,1
6.12,4,2,1,3,40.16,0
11.25,4,3,3,5,79.31,1
103.75,2,4,3,5,26.66,0
13.34,1,3,2,3,73.91,0
14.27,5,2,5,2,36.41,1
26.46,2,3,2,3,51.59,1
35.39,8,3,4,3,49.62,1
45.14,1,3,1,3,73.15,0
51.96,4,6,6,2,49.2,1
29.46,2,3,6,4,50.83,1
10.79,3,3,3,4,59.74,1
18.74,1,6,5,1,54.6,1
19.02,2,4,1,5,31.02,0
29.22,3,3,4,4,45.83,1
21.98,3,3,4,2,82.89,1
47.77,2,1,3,4,95.4,0
36.97,0,5,1,4,30.97,0
14.3,4,4,2,1,43.14,0
37.67,4,4,1,2,6.91,0
14.31,3,5,0,3,92.77,1
13.66,3,4,7,2,32.1,1
52.95,3,3,1,4,13.63,0
35.26,4,2,2,3,55.5,1
16.41,3,5,3,2,40.43,1
8.99,2,2,2,4,58.23,1
42.0,1,1,3,5,100.0,1
59.1,3,2,0,1,63.02,1
39.39,1,2,1,5,44.42,0
23.36,2,2,5,4,82.36,0
22.18,5,1,4,1,41.21,1
41.02,4,5,4,2,76.12,1
32.96,1,3,1,1,72.9,0
7.31,2,2,1,2,57.59,1
43.19,2,4,1,5,43.89,0
21.88,4,7,7,1,7.37,0
19.7,7,4,2,1,55.49,1
35.81,4,0,1,4,52.58,1
11.94,4,4,1,5,63.84,1
23.95,3,4,4,2,37.77,0
21.23,3,3,6,2,55.62,1
30.31,4,2,3,2,45.96,1
19.62,2,4,2,3,64.59,0
21.19,2,6,1,5,46.22,0
13.4,5,5,6,5,25.47,1
57.83,2,8,2,4,65.15,0
17.02,2,4,3,2,26.31,0
23.96,5,2,6,1,63.36,1
9.6,1,3,2,5,59.13,0
53.16,3,2,1,2,52.0,1
12.07,2,4,2,2,35.39,1
67.62,1,1,4,2,81.73,0
26.85,4,3,4,1,29.32,0
31.71,4,3,0,5,72.58,0
35.46,2,4,1,3,71.56,0
40.02,2,2,1,3,67.21,1
25.33,0,3,3,3,68.95,0
14.62,5,2,1,4,45.21,0
15.88,3,2,2,1,49.01,0
52.48,1,3,4,5,35.02,0
14.3,3,5,8,1,62.89,1
11.28,2,2,5,5,47.18,0
34.33,3,3,3,5,34.2,0
93.38,3,1,1,1,40.41,0
48.33,1,2,3,2,48.72,0
21.78,3,2,2,4,25.32,0
10.71,2,1,1,3,51.01,0
7.12,2,6,3,3,45.37,0
20.57,6,1,4,4,43.11,1
72.84,4,3,2,2,35.13,1
13.74,5,5,1,3,57.87,1
24.42,4,2,1,5,48.47,0
79.68,5,1,2,1,76.01,1
37.01,3,4,5,4,18.66,0
22.92,3,2,5,1,42.89,0
23.91,6,5,1,5,87.56,0
8.27,1,1,2,1,24.54,0
21.48,1,4,8,3,44.14,0
41.01,0,4,3,5,54.62,1
31.67,5,3,2,3,30.42,0
8.78,4,1,0,4,84.5,0
40.21,3,2,2,4,38.56,0
11.98,6,1,2,1,66.36,1
32.8,3,2,2,1,35.35,0
98.84,2,0,2,4,84.6,0
40.66,0,4,1,3,22.89,0
47.67,2,5,7,5,21.58,1
14.65,2,0,2,5,33.05,0
4.64,3,1,5,1,91.56,1
14.45,5,1,2,4,21.92,1
38.53,5,5,4,2,67.25,1
30.13,6,6,3,2,13.85,0
32.67,3,4,2,2,29.61,0
18.21,5,0,3,1,35.55,0
18.57,6,2,2,3,32.33,1
32.36,5,2,3,4,35.29,1
13.18,2,1,1,4,32.82,1
41.17,4,2,5,2,34.88,1
19.46,7,4,6,2,32.54,1
6.42,4,1,1,4,32.54,0
16.33,1,0,4,3,35.38,1
13.15,1,1,2,2,78.63,0
46.05,2,0,6,2,20.95,1
76.27,2,4,0,2,44.1,0
15.03,1,2,3,5,64.96,0
24.73,3,3,1,4,91.78,0
33.63,10,6,4,1,49.84,1
49.34,4,0,4,1,51.47,1
26.15,3,3,2,4,46.03,0
97.18,1,2,4,1,48.28,1
24.79,4,2,2,3,60.41,1
49.0,7,2,3,5,49.69,1
41.13,4,6,1,1,86.52,0
7.61,1,4,3,3,17.46,0
28.53,0,0,3,5,75.77,0
24.04,4,3,4,3,61.35,1
10.58,2,3,1,2,88.43,1
11.79,3,5,3,1,20.4,0
38.19,3,5,2,3,68.57,0
19.44,2,2,6,5,1.96,0
11.85,5,5,3,1,62.13,1
5.58,5,1,2,2,66.85,1
7.31,5,6,2,5,67.7,1
24.05,3,4,0,2,31.64,0
63.53,2,2,3,4,47.59,0
45.36,6,5,3,4,61.09,1
17.95,5,1,2,2,50.13,1
19.55,2,3,3,2,29.38,1
31.18,1,0,1,4,54.19,0
36.27,0,7,5,4,17.91,0
22.77,3,2,3,2,61.83,0
11.61,12,2,0,4,71.69,1
46.47,4,0,3,4,7.97,0
26.79,1,4,5,5,15.51,1
33.26,5,1,5,2,26.56,1
7.48,5,1,3,4,61.48,1
36.59,4,2,2,4,45.42,0
10.21,4,1,4,5,53.87,0
8.05,2,5,1,4,37.98,0
13.07,1,3,3,2,67.52,0
22.67,0,6,3,1,56.55,0
39.01,4,4,5,5,51.33,1
28.83,5,5,5,2,48.45,1
36.97,2,3,2,5,82.24,1
23.24,4,5,3,4,31.73,0
44.44,4,1,1,3,52.11,0
25.08,1,0,4,1,72.21,0
51.31,3,3,4,3,31.44,0
12.94,1,5,5,5,32.2,0
56.88,4,6,3,4,26.51,0
20.58,7,7,3,5,56.14,0
19.9,2,3,1,4,75.54,0
156.56,3,2,2,1,49.6,0
16.97,5,6,4,2,55.69,1
14.42,3,2,2,1,53.12,0
15.5,0,5,3,4,9.85,0
16.93,6,4,3,1,36.72,1
18.69,3,3,0,1,12.95,1
59.84,1,1,3,3,60.49,0
27.89,2,5,5,2,63.15,1
13.24,2,6,1,2,0.0,0
16.54,5,4,2,5,13.73,0
31.95,4,3,0,5,69.07,0
9.29,3,2,1,1,71.1,0
18.43,2,5,1,5,75.37,0
42.55,5,3,6,3,60.19,1
29.92,5,4,1,5,41.38,0
7.45,4,0,1,4,20.75,0
51.24,5,3,3,5,73.41,1
44.52,1,2,6,3,79.73,0
24.35,3,3,3,3,58.15,1
15.59,3,3,4,1,46.2,0
133.02,5,4,2,3,60.09,0
18.24,3,1,2,1,34.53,0
8.44,1,1,1,4,40.88,0
19.75,3,1,2,4,12.1,1
28.42,3,6,2,5,4.35,0
13.53,3,2,1,5,14.01,1
10.5,4,2,5,2,58.13,0
18.91,5,4,6,1,37.02,1
29.31,2,5,3,1,7.39,0
42.57,1,3,7,3,32.23,1
52.89,1,5,3,5,45.18,0
5.44,2,2,3,2,39.65,1
35.67,2,4,3,1,49.57,0
52.77,4,1,7,1,79.02,1
24.49,0,3,5,1,63.38,1
20.5,3,3,0,5,86.71,1
15.58,7,4,4,1,87.55,1
68.06,3,2,4,4,18.44,0
32.5,3,3,1,4,65.64,0
6.17,2,2,2,1,69.88,1
12.88,4,2,4,3,70.25,1
27.45,4,2,1,1,69.13,0
19.01,2,2,2,1,60.33,1
27.57,3,3,0,3,72.38,1
45.02,2,2,2,4,53.93,0
20.49,1,4,1,1,39.86,0
8.62,6,4,6,5,80.49,1
51.38,3,4,5,2,58.69,0
27.71,3,2,3,2,57.96,1
45.1,2,4,3,1,62.71,1
54.24,3,2,1,4,37.92,1
15.16,1,2,5,2,66.28,0
33.68,3,4,0,2,75.87,1
35.06,3,4,5,3,56.07,1
10.92,4,4,1,5,25.94,0
51.05,5,3,5,2,34.33,0
25.79,1,3,2,2,61.82,0
11.81,2,0,4,5,37.28,1
11.47,1,3,2,5,23.23,1
17.56,2,1,1,3,48.16,1
15.35,1,6,0,2,59.34,0
20.07,6,1,1,2,64.28,1
17.44,5,0,2,5,27.98,1
6.74,3,4,2,1,74.26,1
31.13,3,3,3,3,21.85,0
26.62,1,4,3,5,0.0,0
7.8,4,1,5,2,47.71,1
7.75,2,4,4,1,44.97,1
33.53,3,4,4,5,66.81,0
10.2,2,2,4,3,37.09,1
25.16,7,5,2,3,65.85,1
14.11,4,4,2,4,51.7,0
5.69,4,1,3,3,59.15,1
26.94,2,2,5,5,61.71,1
17.61,2,1,4,1,73.35,1
17.13,1,4,4,4,96.89,0
22.17,3,0,7,1,27.24,1
11.12,4,2,5,1,65.21,1
47.84,3,5,6,4,5.33,0
6.23,3,2,5,5,53.62,0
13.5,2,3,4,4,61.96,1
13.85,4,2,6,1,76.6,1
10.61,5,4,4,5,37.54,1
10.91,4,4,3,5,69.56,0
34.47,2,1,3,4,10.41,1
91.88,8,4,4,5,26.8,0
20.11,5,8,2,2,63.5,1
9.35,3,3,3,1,60.72,1
11.29,3,1,5,5,79.0,1
43.16,2,4,4,3,43.83,0
28.01,3,3,2,2,54.42,0
20.25,2,4,1,4,19.59,0
25.85,4,5,4,2,57.9,0
3.49,3,1,2,2,23.27,0
34.38,2,4,3,3,59.78,0
21.46,5,5,6,3,5.16,1
39.3,5,1,1,4,34.98,0
48.01,3,5,4,2,30.21,1
8.9,3,2,2,1,24.61,0
105.28,1,3,2,1,89.32,0
28.04,3,2,3,2,73.88,1
33.77,1,3,6,4,51.65,0
58.12,1,0,4,3,71.74,1
22.28,6,3,2,5,26.57,1
131.57,1,5,3,1,76.25,0
43.46,6,4,4,5,30.99,1
21.98,1,5,5,1,23.79,0
20.41,1,1,2,5,53.53,0
40.21,2,4,4,1,0.0,0
26.91,4,1,4,5,27.51,0
24.89,2,1,7,1,25.77,1
20.2,3,2,3,1,31.02,0
39.33,2,3,6,3,55.09,0
25.58,8,6,4,5,67.33,1
27.32,2,4,1,5,49.27,0
28.9,3,2,4,1,20.07,1
15.07,3,5,3,2,49.79,1
10.21,6,6,0,5,92.93,0
7.56,1,3,2,4,39.75,0
21.18,3,2,1,2,61.39,0
15.93,1,3,0,3,72.79,0
23.76,4,3,5,2,54.2,1
12.75,2,3,2,1,44.78,1
18.26,7,3,4,1,22.94,0
16.77,4,2,6,1,45.18,0
11.61,1,3,4,5,20.14,0
140.09,6,1,4,4,58.77,1
45.62,4,2,0,5,32.99,0
22.16,2,4,4,3,70.87,1
32.81,4,6,6,5,81.71,1
30.82,5,0,1,1,80.8,1
44.01,0,0,0,1,32.97,0
13.14,5,3,8,5,86.14,1
8.53,1,5,3,1,82.52,1
42.26,3,3,4,5,50.88,0
39.03,4,3,3,2,67.02,1
14.57,3,3,5,5,69.66,1
9.4,7,2,3,2,73.49,1
7.53,5,4,2,1,67.83,1
8.62,2,1,0,4,48.68,1
61.95,3,2,1,3,59.58,1
51.29,5,2,4,4,12.76,0
15.73,2,5,0,3,55.06,0
49.44,2,5,1,5,51.97,0
9.92,2,0,2,3,49.76,1
18.21,5,3,3,3,41.98,0
47.17,2,7,2,4,37.6,0
33.25,3,3,2,4,39.63,0
36.3,2,4,2,1,33.52,0
58.58,4,5,6,3,49.99,0
23.7,3,0,3,1,14.13,1
32.62,5,3,5,5,62.47,1
17.63,3,1,2,3,13.67,0
45.92,3,6,2,3,78.74,1
32.78,1,1,4,1,15.88,1
13.38,3,4,5,4,55.81,1
18.65,6,2,0,3,59.97,1
53.81,2,0,1,5,87.4,1
58.63,4,2,2,1,66.31,0
15.43,3,1,1,5,60.11,0
8.29,3,1,5,4,46.14,0
16.8,1,4,0,3,87.08,1
27.03,2,4,5,1,63.51,0
31.32,2,4,3,1,30.72,0
22.35,3,0,3,3,30.83,0
26.94,4,2,3,5,52.03,1
19.04,4,3,3,5,63.31,1
9.96,3,3,2,1,84.3,1
11.35,3,1,8,2,61.9,1
21.92,1,1,2,4,51.07,0
59.53,4,1,8,1,3.27,1
47.86,3,1,4,1,61.6,1
102.76,2,4,5,1,42.12,0
33.8,0,1,4,5,20.38,0
23.17,2,3,4,5,20.78,0
17.12,3,6,4,3,61.78,0
23.38,3,4,4,4,71.8,0
22.38,5,4,3,2,49.63,1
27.22,4,6,4,3,50.21,0
31.93,3,3,2,5,39.72,1
46.93,2,4,0,1,44.06,0
21.38,2,1,2,5,81.67,1
49.71,5,4,3,1,26.48,1
14.44,4,2,4,2,42.58,0
68.57,0,3,4,5,18.14,0
29.78,2,2,2,4,40.92,0
40.5,2,4,4,4,75.51,1
11.87,3,4,9,1,60.71,1
41.21,6,2,3,1,80.74,1
15.96,1,2,2,2,57.38,1
20.37,2,3,2,5,54.21,0
8.94,2,1,4,2,62.5,1
20.78,3,4,3,1,64.4,1
32.86,1,2,3,1,44.05,0
5.04,4,2,2,2,62.68,1
28.4,4,3,0,1,60.98,1
